ID	Name	Age	Marks
1	Student_1	19	51
2	Student_2	20	52
3	Student_3	21	53
4	Student_4	22	54
5	Student_5	18	55
6	Student_6	19	56
7	Student_7	20	57
8	Student_8	21	58
9	Student_9	22	59
10	Student_10	18	60
11	Student_11	19	61
12	Student_12	20	62
13	Student_13	21	63
14	Student_14	22	64
15	Student_15	18	65
16	Student_16	19	66
17	Student_17	20	67
18	Student_18	21	68
19	Student_19	22	69
20	Student_20	18	70
21	Student_21	19	71
22	Student_22	20	72
23	Student_23	21	73
24	Student_24	22	74
25	Student_25	18	75
26	Student_26	19	76
27	Student_27	20	77
28	Student_28	21	78
29	Student_29	22	79
30	Student_30	18	80
31	Student_31	19	81
32	Student_32	20	82
33	Student_33	21	83
34	Student_34	22	84
35	Student_35	18	85
36	Student_36	19	86
37	Student_37	20	87
38	Student_38	21	88
39	Student_39	22	89
40	Student_40	18	90
41	Student_41	19	91
42	Student_42	20	92
43	Student_43	21	93
44	Student_44	22	94
45	Student_45	18	95
46	Student_46	19	96
47	Student_47	20	97
48	Student_48	21	98
49	Student_49	22	99
50	Student_50	18	100
51	Student_51	19	50
52	Student_52	20	51
53	Student_53	21	52
54	Student_54	22	53
55	Student_55	18	54
56	Student_56	19	55
57	Student_57	20	56
58	Student_58	21	57
59	Student_59	22	58
60	Student_60	18	59
61	Student_61	19	60
62	Student_62	20	61
63	Student_63	21	62
64	Student_64	22	63
65	Student_65	18	64
66	Student_66	19	65
67	Student_67	20	66
68	Student_68	21	67
69	Student_69	22	68
70	Student_70	18	69
71	Student_71	19	70
72	Student_72	20	71
73	Student_73	21	72
74	Student_74	22	73
75	Student_75	18	74
76	Student_76	19	75
77	Student_77	20	76
78	Student_78	21	77
79	Student_79	22	78
80	Student_80	18	79
81	Student_81	19	80
82	Student_82	20	81
83	Student_83	21	82
84	Student_84	22	83
85	Student_85	18	84
86	Student_86	19	85
87	Student_87	20	86
88	Student_88	21	87
89	Student_89	22	88
90	Student_90	18	89
91	Student_91	19	90
92	Student_92	20	91
93	Student_93	21	92
94	Student_94	22	93
95	Student_95	18	94
96	Student_96	19	95
97	Student_97	20	96
98	Student_98	21	97
99	Student_99	22	98
100	Student_100	18	99
101	Student_101	19	100
102	Student_102	20	50
103	Student_103	21	51
104	Student_104	22	52
105	Student_105	18	53
106	Student_106	19	54
107	Student_107	20	55
108	Student_108	21	56
109	Student_109	22	57
110	Student_110	18	58
111	Student_111	19	59
112	Student_112	20	60
113	Student_113	21	61
114	Student_114	22	62
115	Student_115	18	63
116	Student_116	19	64
117	Student_117	20	65
118	Student_118	21	66
119	Student_119	22	67
120	Student_120	18	68
121	Student_121	19	69
122	Student_122	20	70
123	Student_123	21	71
124	Student_124	22	72
125	Student_125	18	73
126	Student_126	19	74
127	Student_127	20	75
128	Student_128	21	76
129	Student_129	22	77
130	Student_130	18	78
131	Student_131	19	79
132	Student_132	20	80
133	Student_133	21	81
134	Student_134	22	82
135	Student_135	18	83
136	Student_136	19	84
137	Student_137	20	85
138	Student_138	21	86
139	Student_139	22	87
140	Student_140	18	88
